sig_id	pert_id	pert_mfc_id	cmap_name	pert_type	cell_iname	pert_idose	pert_itime	is_hiq	cc_q75
REP.B007_PC3_24H:F19	BRD-K42191735	BRD-K42191735	buparlisib	trt_cp	PC3	2.22 uM	24 h	1	0.589
REP.B014_A375_24H:I01	BRD-K60866521	BRD-K60866521	idelalisib	trt_cp	A375	2.22 uM	24 h	1	0.4444
REP.B022_PC3_24H:P19	BRD-K82746043	BRD-K82746043	navitoclax	trt_cp	PC3	2.22 uM	24 h	1	0.2412
REP.B022_PC3_24H:P21	BRD-K82746043	BRD-K82746043	navitoclax	trt_cp	PC3	0.25 uM	24 h	1	0.2831
REP.B027_PC3_24H:A19	BRD-K92723993	BRD-K92723993	imatinib	trt_cp	PC3	2.22 uM	24 h	1	0.2714
TA.OE002_A375_72H:BRDN0000464820:-666	BRDN0000464820	BRDN0000464820	NRAS	trt_oe	A375		72 h	1	0.6
TA.OE002_A375_72H:BRDN0000464822:-666	BRDN0000464822	BRDN0000464822	IDH1	trt_oe	A375		72 h	1	0.38
TA.OE002_A375_72H:BRDN0000464823:-666	BRDN0000464823	BRDN0000464823	MYC	trt_oe	A375		72 h	1	0.69
TA.OE002_A375_72H:BRDN0000465013:-666	BRDN0000465013	BRDN0000465013	AKT1	trt_oe	A375		72 h	1	0.7
TA.OE002_A375_72H:BRDN0000465016:-666	BRDN0000465016	BRDN0000465016	MYC	trt_oe	A375		72 h	1	0.54
TA.OE002_A375_72H:BRDN0000465035:-666	BRDN0000465035	BRDN0000465035	EZH2	trt_oe	A375		72 h	1	0.55
TA.OE002_A375_72H:BRDN0000465082:-666	BRDN0000465082	BRDN0000465082	KRAS	trt_oe	A375		72 h	1	0.63
TA.OE002_A375_72H:BRDN0000465083:-666	BRDN0000465083	BRDN0000465083	SOCS1	trt_oe	A375		72 h	1	0.46
TA.OE002_A375_72H:BRDN0000465114:-666	BRDN0000465114	BRDN0000465114	SOCS1	trt_oe	A375		72 h	1	0.51
TA.OE002_A375_72H:BRDN0000465125:-666	BRDN0000465125	BRDN0000465125	MYC	trt_oe	A375		72 h	1	0.7
TA.OE002_A375_72H:CCSBBROAD304_00526:-666	CCSBBROAD304_00526	CCSBBROAD304_00526	EZH2	trt_oe	A375		72 h	1	0.2
TA.OE002_A375_72H:CCSBBROAD304_06179:-666	CCSBBROAD304_06179	CCSBBROAD304_06179	ERG	trt_oe	A375		72 h	1	0.55
TA.OE002_PC3_72H:BRDN0000464820:-666	BRDN0000464820	BRDN0000464820	NRAS	trt_oe	PC3		72 h	1	0.28
TA.OE002_PC3_72H:BRDN0000464994:-666	BRDN0000464994	BRDN0000464994	ERG	trt_oe	PC3		72 h	1	0.53
TA.OE002_PC3_72H:BRDN0000465016:-666	BRDN0000465016	BRDN0000465016	MYC	trt_oe	PC3		72 h	1	0.56
TA.OE002_PC3_72H:BRDN0000465082:-666	BRDN0000465082	BRDN0000465082	KRAS	trt_oe	PC3		72 h	1	0.34
TA.OE002_PC3_72H:BRDN0000465125:-666	BRDN0000465125	BRDN0000465125	MYC	trt_oe	PC3		72 h	1	0.69
