gene_id	gene_symbol	gene_title	gene_type	src	feature_space
2023	ENO1	enolase 1	protein-coding	NCBI	best inferred
2033	EP300	E1A binding protein p300	protein-coding	NCBI	best inferred
2078	ERG	ETS transcription factor ERG	protein-coding	NCBI	best inferred
2114	ETS2	ETS proto-oncogene 2, transcription factor	protein-coding	NCBI	best inferred
2313	FLI1	Fli-1 proto-oncogene, ETS transcription factor	protein-coding	NCBI	best inferred
2322	FLT3	fms related tyrosine kinase 3	protein-coding	NCBI	best inferred
2475	MTOR	mechanistic target of rapamycin kinase	protein-coding	NCBI	best inferred
2539	G6PD	glucose-6-phosphate dehydrogenase	protein-coding	NCBI	best inferred
2735	GLI1	GLI family zinc finger 1	protein-coding	NCBI	best inferred
2932	GSK3B	glycogen synthase kinase 3 beta	protein-coding	NCBI	best inferred
3014	H2AFX	H2A histone family member X	protein-coding	NCBI	best inferred
3065	HDAC1	histone deacetylase 1	protein-coding	NCBI	best inferred
3265	HRAS	HRas proto-oncogene, GTPase	protein-coding	NCBI	best inferred
3417	IDH1	isocitrate dehydrogenase (NADP(+)) 1, cytosolic	protein-coding	NCBI	best inferred
3418	IDH2	isocitrate dehydrogenase (NADP(+)) 2, mitochondrial	protein-coding	NCBI	best inferred
3569	IL6	interleukin 6	protein-coding	NCBI	best inferred
3570	IL6R	interleukin 6 receptor	protein-coding	NCBI	best inferred
3659	IRF1	interferon regulatory factor 1	protein-coding	NCBI	best inferred
3661	IRF3	interferon regulatory factor 3	protein-coding	NCBI	best inferred
3662	IRF4	interferon regulatory factor 4	protein-coding	NCBI	best inferred
3716	JAK1	Janus kinase 1	protein-coding	NCBI	best inferred
3717	JAK2	Janus kinase 2	protein-coding	NCBI	best inferred
3718	JAK3	Janus kinase 3	protein-coding	NCBI	best inferred
3726	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit	protein-coding	NCBI	best inferred
3845	KRAS	KRAS proto-oncogene, GTPase	protein-coding	NCBI	best inferred
3932	LCK	LCK proto-oncogene, Src family tyrosine kinase	protein-coding	NCBI	best inferred
3939	LDHA	lactate dehydrogenase A	protein-coding	NCBI	best inferred
4149	MAX	MYC associated factor X	protein-coding	NCBI	best inferred
4170	MCL1	MCL1 apoptosis regulator, BCL2 family member	protein-coding	NCBI	best inferred
4193	MDM2	MDM2 proto-oncogene	protein-coding	NCBI	best inferred
4233	MET	MET proto-oncogene, receptor tyrosine kinase	protein-coding	NCBI	best inferred
4601	MXI1	MAX interactor 1, dimerization protein	protein-coding	NCBI	best inferred
4602	MYB	MYB proto-oncogene, transcription factor	protein-coding	NCBI	best inferred
4613	MYCN	MYCN proto-oncogene, bHLH transcription factor	protein-coding	NCBI	best inferred
4763	NF1	neurofibromin 1	protein-coding	NCBI	best inferred
4790	NFKB1	nuclear factor kappa B subunit 1	protein-coding	NCBI	best inferred
4837	NNMT	nicotinamide N-methyltransferase	protein-coding	NCBI	best inferred
4853	NOTCH2	notch receptor 2	protein-coding	NCBI	best inferred
5156	PDGFRA	platelet derived growth factor receptor alpha	protein-coding	NCBI	best inferred
5159	PDGFRB	platelet derived growth factor receptor beta	protein-coding	NCBI	best inferred
5291	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	protein-coding	NCBI	best inferred
5293	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	protein-coding	NCBI	best inferred
5315	PKM	pyruvate kinase M1/2	protein-coding	NCBI	best inferred
5594	MAPK1	mitogen-activated protein kinase 1	protein-coding	NCBI	best inferred
5595	MAPK3	mitogen-activated protein kinase 3	protein-coding	NCBI	best inferred
5599	MAPK8	mitogen-activated protein kinase 8	protein-coding	NCBI	best inferred
5604	MAP2K1	mitogen-activated protein kinase kinase 1	protein-coding	NCBI	best inferred
5605	MAP2K2	mitogen-activated protein kinase kinase 2	protein-coding	NCBI	best inferred
5700	PSMC1	proteasome 26S subunit, ATPase 1	protein-coding	NCBI	best inferred
5707	PSMD1	proteasome 26S subunit, non-ATPase 1	protein-coding	NCBI	best inferred
5728	PTEN	phosphatase and tensin homolog	protein-coding	NCBI	best inferred
5888	RAD51	RAD51 recombinase	protein-coding	NCBI	best inferred
